City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,79.05,few clouds,-9.8,-139.0333,Villa Enata
1,Axim,GH,81.07,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
2,Rikitea,PF,79.72,overcast clouds,-23.1203,-134.9692,Pension Maro'i
4,Kahului,US,77.0,light rain,20.8947,-156.47,Maui Seaside Hotel
6,Alofi,NU,84.2,few clouds,-19.0595,-169.9187,Taloa Heights
13,Acari,PE,76.75,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
14,Samarai,PG,84.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
17,Lorengau,PG,84.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
22,Dhidhdhoo,MV,82.58,few clouds,6.8833,73.1,Dhidhoo beach
29,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
30,Cabo San Lucas,MX,78.8,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
41,Pucallpa,PE,82.09,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
42,Kintampo,GH,78.3,moderate rain,8.0563,-1.7306,Adomaa Memorial Hotel
44,Butaritari,KI,81.19,broken clouds,3.0707,172.7902,Isles Sunset Lodge
49,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
50,Namatanai,PG,83.01,overcast clouds,-3.6667,152.4333,Namatanai Hotel
51,Arraial Do Cabo,BR,78.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
60,Kudahuvadhoo,MV,82.92,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
61,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
67,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
70,Minab,IR,77.0,broken clouds,27.1467,57.0801,Bam campground
72,New Norfolk,AU,75.2,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
74,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
79,Soyo,AO,80.35,overcast clouds,-6.1349,12.3689,Hotel Mpampa
82,Tamandare,BR,78.6,clear sky,-8.7597,-35.1047,Pousada 100 Passos
87,Voh,NC,82.17,broken clouds,-20.9667,164.7,Le gîte du Koniambo
99,San Policarpo,PH,79.12,broken clouds,12.1791,125.5072,JM Lodge
101,Parintins,BR,76.5,light rain,-2.6283,-56.7358,Cama e Cafe
102,Grand Gaube,MU,75.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
103,Kendari,ID,76.44,broken clouds,-3.945,122.4989,Hotel Wixel
105,Waingapu,ID,79.12,light rain,-9.6567,120.2641,Pondok Wisata Elim
109,Kavieng,PG,83.91,broken clouds,-2.5744,150.7967,Nusa Island Retreat
115,Hilo,US,82.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
120,Pochutla,MX,87.01,few clouds,15.7432,-96.4661,Hotel Posada San Jose
122,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
125,Faanui,PF,82.96,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Kapaa,US,75.0,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
129,Vila Velha,BR,84.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
131,Kavaratti,IN,82.99,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
133,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
140,Sedhiou,SN,84.2,clear sky,12.7081,-15.5569,Auberge Cheznous
142,San Patricio,US,80.6,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Santa Isabel Do Rio Negro,BR,75.94,moderate rain,-0.4139,-65.0192,Hotel GSA
155,Marihatag,PH,77.61,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
156,Amahai,ID,84.0,broken clouds,-3.3333,128.9167,HOTEL ISABELA
157,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
160,Bambanglipuro,ID,75.87,overcast clouds,-7.95,110.2833,Puri Brata
171,Huarmey,PE,76.08,clear sky,-10.0681,-78.1522,Hotel Miramar
181,Buenos Aires,AR,75.0,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
186,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
187,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
195,Kilindoni,TZ,80.53,clear sky,-7.9139,39.6668,Bustani B&B
198,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Siesta Hotel
199,Broken Hill,AU,86.0,few clouds,-31.95,141.4333,Royal Exchange Hotel
208,Kapoeta,SS,84.24,scattered clouds,4.7717,33.5903,Eastgate Hotel
