City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,79.05,63,22,2.37,few clouds
1,Axim,GH,4.8699,-2.2405,81.07,85,95,7.23,light rain
2,Rikitea,PF,-23.1203,-134.9692,79.72,72,100,4.99,overcast clouds
3,Tuatapere,NZ,-46.1333,167.6833,62.01,73,0,1.99,clear sky
4,Kahului,US,20.8947,-156.47,77.0,73,40,14.97,light rain
5,Karaman,TR,37.0833,33.25,28.56,53,0,4.29,clear sky
6,Alofi,NU,-19.0595,-169.9187,84.2,70,12,9.22,few clouds
7,Lompoc,US,34.6391,-120.4579,57.2,62,1,17.27,clear sky
8,Busselton,AU,-33.65,115.3333,46.99,87,0,11.7,clear sky
9,Hermanus,ZA,-34.4187,19.2345,63.0,92,88,1.99,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,51.8,71,40,16.11,light rain
11,Portland,US,45.5234,-122.6762,63.0,29,20,3.44,few clouds
12,Kulunda,RU,52.566,78.9385,-9.62,97,89,9.82,overcast clouds
13,Acari,PE,-15.4311,-74.6158,76.75,73,26,6.42,scattered clouds
14,Samarai,PG,-10.6167,150.6667,84.27,74,92,9.69,overcast clouds
15,Kaihua,CN,23.3687,104.28,59.4,84,87,5.75,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,0,2.3,clear sky
17,Lorengau,PG,-2.0226,147.2712,84.2,63,94,3.33,overcast clouds
18,Hobart,AU,-42.8794,147.3294,73.4,53,75,13.8,light rain
19,Cape Town,ZA,-33.9258,18.4232,66.0,94,0,4.61,clear sky
20,Cherskiy,RU,68.75,161.3,-8.21,90,98,12.3,overcast clouds
21,Tura,IN,25.5198,90.2201,68.04,56,0,2.68,clear sky
22,Dhidhdhoo,MV,6.8833,73.1,82.58,76,17,11.23,few clouds
23,East London,ZA,-33.0153,27.9116,74.61,86,31,16.93,scattered clouds
24,Lensk,RU,60.7253,114.9278,13.48,90,100,7.0,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,-11.0,70,40,9.22,scattered clouds
26,Khatanga,RU,71.9667,102.5,-24.18,83,64,8.88,broken clouds
27,Christchurch,NZ,-43.5333,172.6333,66.0,55,0,14.97,clear sky
28,Rawson,AR,-43.3002,-65.1023,71.06,37,0,11.83,clear sky
29,Makakilo City,US,21.3469,-158.0858,80.6,69,40,16.11,light rain
30,Cabo San Lucas,MX,22.8909,-109.9124,78.8,36,40,8.05,scattered clouds
31,Saldanha,ZA,-33.0117,17.9442,60.8,88,44,4.61,scattered clouds
32,Bluff,NZ,-46.6,168.3333,62.01,73,5,1.99,clear sky
33,Esperance,AU,-33.8667,121.9,57.2,77,75,11.7,broken clouds
34,Albany,US,42.6001,-73.9662,53.6,22,20,16.11,few clouds
35,Kruisfontein,ZA,-34.0033,24.7314,68.0,88,69,2.51,broken clouds
36,Chuy,UY,-33.6971,-53.4616,68.32,92,17,10.18,few clouds
37,Avarua,CK,-21.2078,-159.775,84.2,79,75,5.75,light rain
38,Coquimbo,CL,-29.9533,-71.3436,62.6,77,75,6.91,broken clouds
39,Jamestown,US,42.097,-79.2353,43.0,45,1,16.89,clear sky
40,Riyadh,SA,24.6877,46.7219,71.6,23,1,17.27,dust
41,Pucallpa,PE,-8.3791,-74.5539,82.09,69,49,2.82,scattered clouds
42,Kintampo,GH,8.0563,-1.7306,78.3,77,97,6.8,moderate rain
43,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,62,2.3,broken clouds
44,Butaritari,KI,3.0707,172.7902,81.19,77,79,13.98,broken clouds
45,Mataura,NZ,-46.1927,168.8643,62.01,73,1,1.99,clear sky
46,Dikson,RU,73.5069,80.5464,-10.53,92,100,17.74,overcast clouds
47,Havelock,US,34.8791,-76.9013,66.99,63,1,13.8,clear sky
48,Punta Arenas,CL,-53.15,-70.9167,55.0,71,75,24.16,light rain
49,Hithadhoo,MV,-0.6,73.0833,83.5,62,64,5.84,broken clouds
50,Namatanai,PG,-3.6667,152.4333,83.01,73,89,4.38,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,89,75,3.44,broken clouds
52,Grindavik,IS,63.8424,-22.4338,30.2,80,0,20.71,clear sky
53,Tazovskiy,RU,67.4667,78.7,7.29,92,100,22.53,light snow
54,Asau,RO,46.4333,26.4,37.0,62,60,4.52,light rain
55,Burnie,AU,-41.0667,145.9167,66.99,90,100,7.0,light rain
56,Thompson,CA,55.7435,-97.8558,24.8,54,40,6.91,scattered clouds
57,Narsaq,GL,60.9167,-46.05,14.0,62,75,10.36,broken clouds
58,Ranfurly,NZ,-45.1333,170.1,62.01,69,0,1.99,clear sky
59,Bagting,PH,15.5558,121.2451,74.19,84,100,4.79,overcast clouds
60,Kudahuvadhoo,MV,2.6708,72.8944,82.92,71,65,8.99,broken clouds
61,Oussouye,SN,12.485,-16.5469,80.6,73,0,4.61,clear sky
62,Barrow,US,71.2906,-156.7887,-20.2,63,1,14.97,clear sky
63,Shingu,JP,33.7333,135.9833,53.6,87,75,17.27,broken clouds
64,Sobolevo,RU,54.4299,31.8996,25.0,93,100,15.9,light snow
65,Yellowknife,CA,62.456,-114.3525,7.0,56,20,16.11,few clouds
66,Port Alfred,ZA,-33.5906,26.891,74.77,84,12,17.92,few clouds
67,Georgetown,MY,5.4112,100.3354,77.0,94,20,3.44,few clouds
68,Tottori,JP,35.5,134.2333,50.0,87,75,26.46,light rain
69,Terrace,CA,54.5163,-128.6035,32.0,100,90,0.72,snow
70,Minab,IR,27.1467,57.0801,77.0,44,60,9.22,broken clouds
71,Fortuna,US,40.5982,-124.1573,55.99,82,1,12.66,clear sky
72,New Norfolk,AU,-42.7826,147.0587,75.2,46,75,16.11,light rain
73,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,90,19.57,snow
74,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,20,5.75,few clouds
75,Mar Del Plata,AR,-38.0023,-57.5575,64.99,63,0,6.91,clear sky
76,Kodiak,US,57.79,-152.4072,24.8,39,1,19.57,clear sky
77,Marsa Matruh,EG,31.3525,27.2453,59.0,55,40,12.66,scattered clouds
78,Vaini,TO,-21.2,-175.2,77.0,88,75,12.66,light rain
79,Soyo,AO,-6.1349,12.3689,80.35,83,99,8.12,overcast clouds
80,Victoria,HK,22.2855,114.1577,70.0,84,87,1.01,overcast clouds
81,Pitsunda,GE,43.1592,40.3378,39.2,75,90,15.66,overcast clouds
82,Tamandare,BR,-8.7597,-35.1047,78.6,78,7,8.41,clear sky
83,Wladyslawowo,PL,54.7909,18.4009,36.0,80,0,9.22,clear sky
84,Hirtshals,DK,57.5881,9.9592,39.2,93,90,6.91,overcast clouds
85,Chokurdakh,RU,70.6333,147.9167,-21.05,99,5,2.57,clear sky
86,Artvin,TR,41.1667,41.8333,33.8,93,0,10.36,clear sky
87,Voh,NC,-20.9667,164.7,82.17,65,59,5.84,broken clouds
88,Arroyo,ES,41.6096,-4.7969,46.0,81,0,8.05,clear sky
